time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	3.08297e-321	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.497644	0.58034	7.41605	0	0	radar	23.8888	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.887245	0.58034	7.79988	-4.91698e-07	-9.82783e-06	lidar	0.649219	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.11386	0.580237	5.20769	-0.000412433	-0.00619847	radar	55.0996	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.39363	0.579987	5.2571	-0.000875951	-0.00760683	lidar	0.486956	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.67323	0.579436	5.41584	-0.00159834	-0.00919609	radar	0.0495112	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.96264	0.57885	5.4584	-0.00197407	-0.00880434	lidar	0.402279	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.20954	0.578427	5.31658	-0.00204249	-0.00793871	radar	0.0615331	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.48944	0.579447	5.34624	-0.000110415	2.70381e-05	lidar	0.250867	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.76058	0.580368	5.34169	0.00120226	0.00378564	radar	0.0095379	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.02394	0.585824	5.33655	0.00664871	0.0176653	lidar	0.0204376	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.29726	0.578943	5.31593	0.000239364	-9.73409e-05	radar	0.0220054	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.5987	0.524123	5.39121	-0.0424751	-0.0925688	lidar	1.03253	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.88941	0.524704	5.48727	-0.0374944	-0.0726398	radar	0.0584771	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.17409	0.527126	5.50826	-0.0320366	-0.0558609	lidar	0.156551	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.4365	0.52925	5.36108	-0.0283589	-0.0465141	radar	0.0620627	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.65615	0.649446	5.27099	0.0439183	0.0769018	lidar	1.34048	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.90725	0.663359	5.07968	0.0487989	0.077202	radar	0.11694	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.19701	0.657657	5.1424	0.042822	0.0615884	lidar	0.776264	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.45893	0.66662	5.29848	0.0449672	0.0616683	radar	0.077747	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.75234	0.681848	5.34825	0.0493016	0.0627801	lidar	0.547142	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	5.98558	0.674226	5.11933	0.0424156	0.0470174	radar	0.127853	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.24361	0.775845	5.13005	0.0884653	0.108907	lidar	0.372818	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.4977	0.801255	5.09175	0.0951174	0.110396	radar	0.00879353	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.75461	0.785499	5.09836	0.0812221	0.0828219	lidar	0.0594304	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	6.99673	0.798419	4.90114	0.0817259	0.0764212	radar	0.119131	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.22343	0.86978	4.88398	0.110949	0.112654	lidar	0.138577	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.53208	0.897852	5.24376	0.113242	0.106629	radar	0.39062	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.79634	0.853023	5.24466	0.0813269	0.0537756	lidar	0.187164	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.04733	0.871997	5.03437	0.0824932	0.0499605	radar	0.150137	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.2908	0.874867	5.0265	0.0762255	0.0376658	lidar	0.0253654	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.57093	0.914434	5.34164	0.0879062	0.0528985	radar	0.233733	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.82013	0.981519	5.32742	0.113579	0.0853542	lidar	0.0923438	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12227	1.01842	5.35996	0.11911	0.0866169	radar	0.205861	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36975	1.0537	5.33897	0.125989	0.0903443	lidar	0.0975166	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.65955	1.10038	5.3874	0.135522	0.0969769	radar	0.0885458	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.9264	1.25384	5.41607	0.199726	0.178454	lidar	0.498669	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1766	1.32647	5.16706	0.222469	0.201667	radar	0.213399	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4017	1.41973	5.14442	0.252211	0.228684	lidar	0.197406	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6328	1.49633	4.91539	0.274894	0.248831	radar	0.161763	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.854	1.52593	4.88397	0.269125	0.224686	lidar	0.163768	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.127	1.59008	5.0917	0.272946	0.211127	radar	0.136068	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3946	1.63347	5.11891	0.267644	0.189612	lidar	0.287029	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6197	1.69759	5.03432	0.277692	0.191685	radar	0.025669	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8491	1.76235	5.02013	0.285603	0.189547	lidar	0.0390965	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1123	1.84022	5.21985	0.292704	0.182537	radar	0.0939418	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3593	1.86608	5.19662	0.276283	0.148591	lidar	0.0815453	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6146	1.93592	5.31081	0.280359	0.141958	radar	0.0347062	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
